source,dest,latency
as00750-02,as00750-03,10.42
as00750-02,as00750-04,1.26
as00750-02,as00750-05,7.18
as00750-02,as00750-06,3.19
as00750-02,as00750-07,5.88
as00750-02,as00750-08,4.92
as00750-02,as00750-09,9.50
as00750-02,as00750-10,9.84
as00750-02,as00750-11,4.85
as00750-03,as00750-04,3.89
as00750-03,as00750-05,9.51
as00750-03,as00750-06,10.82
as00750-03,as00750-07,6.78
as00750-03,as00750-08,2.79
as00750-03,as00750-09,5.04
as00750-03,as00750-10,9.67
as00750-03,as00750-11,2.47
as00750-04,as00750-05,7.98
as00750-04,as00750-06,5.80
as00750-04,as00750-07,8.17
as00750-04,as00750-08,8.45
as00750-04,as00750-09,10.44
as00750-04,as00750-10,4.82
as00750-04,as00750-11,10.17
as00750-05,as00750-06,1.36
as00750-05,as00750-07,4.89
as00750-05,as00750-08,2.34
as00750-05,as00750-09,7.12
as00750-05,as00750-10,7.90
as00750-05,as00750-11,5.85
as00750-06,as00750-07,1.95
as00750-06,as00750-08,8.89
as00750-06,as00750-09,5.65
as00750-06,as00750-10,10.78
as00750-06,as00750-11,4.06
as00750-07,as00750-08,4.98
as00750-07,as00750-09,5.31
as00750-07,as00750-10,11.80
as00750-07,as00750-11,7.13
as00750-08,as00750-09,5.88
as00750-08,as00750-10,8.39
as00750-08,as00750-11,9.56
as00750-09,as00750-10,1.05
as00750-09,as00750-11,9.54
as00750-10,as00750-11,8.25
